 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -852522944
   500000000.000000        11745854.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (9929029.00000000,6.698238145244624E-004)
 (30284.3170666537,-2.043015160682308E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
 16     0.1151167549E+000+/-     0.033463%    +i  -0.8627858578E-001+/-     0.033463%
 17     0.1098746612E+000+/-     0.034752%    +i  -0.7563221005E-001+/-     0.034752%
 18     0.1235991919E+000+/-     0.033204%    +i  -0.7792999153E-001+/-     0.033204%
 19     0.1096016444E+000+/-     0.035691%    +i  -0.6308778677E-001+/-     0.035691%
 20     0.1260468357E+000+/-     0.033652%    +i  -0.6593212153E-001+/-     0.033653%
 21     0.1160699058E+000+/-     0.035422%    +i  -0.5489053634E-001+/-     0.035422%
 22     0.1202480186E+000+/-     0.035114%    +i  -0.5108615516E-001+/-     0.035115%
 23     0.1314022251E+000+/-     0.033864%    +i  -0.4966999261E-001+/-     0.033866%
 24     0.1253256514E+000+/-     0.034921%    +i  -0.4175747415E-001+/-     0.034924%
 25     0.1284750231E+000+/-     0.034710%    +i  -0.3704738834E-001+/-     0.034715%
 26     0.1384473389E+000+/-     0.033614%    +i  -0.3403678477E-001+/-     0.033622%
 27     0.1434860859E+000+/-     0.033168%    +i  -0.2924370952E-001+/-     0.033180%
 28     0.1559986697E+000+/-     0.031927%    +i  -0.2528355401E-001+/-     0.031949%
 29     0.1364181344E+000+/-     0.034239%    +i  -0.1651179598E-001+/-     0.034288%
 30     0.1380969648E+000+/-     0.034099%    +i  -0.1108433745E-001+/-     0.034223%
 31     0.1382675305E+000+/-     0.034119%    +i  -0.5568966065E-002+/-     0.034661%
 32     0.1414402360E+000+/-     0.033748%    +i  -0.3824094568E-010+/-     0.000000%
 33     0.1382675305E+000+/-     0.034119%    +i   0.5568965990E-002+/-     0.034661%
 34     0.1380969648E+000+/-     0.034099%    +i   0.1108433738E-001+/-     0.034223%
 35     0.1364181345E+000+/-     0.034239%    +i   0.1651179591E-001+/-     0.034288%
 36     0.1559986697E+000+/-     0.031927%    +i   0.2528355393E-001+/-     0.031949%
 37     0.1434860859E+000+/-     0.033168%    +i   0.2924370945E-001+/-     0.033180%
 38     0.1384473389E+000+/-     0.033614%    +i   0.3403678469E-001+/-     0.033622%
 39     0.1284750231E+000+/-     0.034710%    +i   0.3704738827E-001+/-     0.034715%
 40     0.1253256515E+000+/-     0.034921%    +i   0.4175747409E-001+/-     0.034924%
 41     0.1314022251E+000+/-     0.033864%    +i   0.4966999253E-001+/-     0.033866%
 42     0.1202480187E+000+/-     0.035114%    +i   0.5108615510E-001+/-     0.035115%
 43     0.1160699058E+000+/-     0.035422%    +i   0.5489053628E-001+/-     0.035422%
